ID,Width,Height,Depth,TemporalPooling,Epochs,Seed,SpatialPooling,AvgClassificationRate,AvgDeviation
17476863743,3,3,2,2,800,6,8,64.6804,6.4998
17476863653,3,3,2,2,800,13,8,67.5963,5.2075
17476863653,3,3,2,2,800,42,8,67.1052,3.7934
17476863743,3,3,2,2,800,44,8,64.2253,5.8705
17476863653,3,3,2,2,800,45,8,65.691,5.1773
17476863743,3,3,2,2,800,59,8,67.6493,6.4445
17476863653,3,3,2,2,800,93,8,69.7574,5.4956
17476863653,3,3,2,2,800,96,8,67.0909,6.9388
17476863743,3,3,2,2,800,98,8,68.5961,5.6998
17476863823,3,3,2,3,800,6,8,66.2985,5.7554
17476863823,3,3,2,3,800,13,8,71.7755,4.2239
17476863743,3,3,2,3,800,42,8,70.9422,7.7203
17476863833,3,3,2,3,800,44,8,68.5681,3.1706
17476863823,3,3,2,3,800,45,8,71.2532,5.7611
17476863833,3,3,2,3,800,59,8,72.3614,6.953
17476863823,3,3,2,3,800,93,8,72.9988,7.6219
17476863823,3,3,2,3,800,96,8,70.2299,5.2296
17476863833,3,3,2,3,800,98,8,70.5273,2.9523
17476865673,3,3,2,4,800,6,8,64.8959,5.3976
17476863833,3,3,2,4,800,13,8,67.5732,4.3985
17476863833,3,3,2,4,800,42,8,67.702,4.7811
17476884273,3,3,2,4,800,44,8,64.834,4.6992
17476865673,3,3,2,4,800,45,8,67.1309,4.9601
17476884273,3,3,2,4,800,59,8,68.4104,5.4228
17476865673,3,3,2,4,800,93,8,69.7264,6.314
17476865673,3,3,2,4,800,96,8,67.849,6.2888
17476865673,3,3,2,4,800,98,8,69.3224,4.4988
17476884343,3,3,2,5,800,6,8,56.128,6.213
17476884273,3,3,2,5,800,13,8,59.8342,3.898
17476884273,3,3,2,5,800,42,8,55.8542,7.1913
17476884603,3,3,2,5,800,44,8,54.8974,3.4582
17476884343,3,3,2,5,800,45,8,57.7208,3.0441
17476884343,3,3,2,5,800,59,8,62.3405,4.1036
17476884273,3,3,2,5,800,93,8,59.1979,8.8738
17476884343,3,3,2,5,800,96,8,57.5667,3.4538
17476884343,3,3,2,5,800,98,8,59.2024,6.677
17476884483,3,3,3,2,800,6,8,64.2051,5.5279
17476884603,3,3,3,2,800,13,8,69.9219,6.033
17476884603,3,3,3,2,800,42,8,66.6456,7.203
17476884483,3,3,3,2,800,44,8,67.3974,4.3736
17476884603,3,3,3,2,800,45,8,67.1788,5.7681
17476884483,3,3,3,2,800,59,8,69.6196,7.4145
17476884603,3,3,3,2,800,93,8,70.3026,6.8234
17476884483,3,3,3,2,800,96,8,68.3228,6.0732
17476884483,3,3,3,2,800,98,8,69.6903,3.6895
17476905393,3,3,3,3,800,6,8,59.6675,9.152
17476884553,3,3,3,3,800,13,8,62.8514,4.5389
17476884553,3,3,3,3,800,42,8,60.8888,6.141
17476905393,3,3,3,3,800,44,8,61.2933,4.4797
17476884553,3,3,3,3,800,45,8,61.8445,4.4894
17476905393,3,3,3,3,800,59,8,64.37,6.7021
17476884553,3,3,3,3,800,93,8,64.7159,7.9649
17476884553,3,3,3,3,800,96,8,61.9488,4.4987
17476905393,3,3,3,3,800,98,8,63.9151,7.1116
17476905373,3,3,3,4,800,6,8,64.2503,4.7735
17476905373,3,3,3,4,800,13,8,69.0249,4.2261
17476905393,3,3,3,4,800,42,8,70.3409,6.5325
17476905543,3,3,3,4,800,44,8,68.2912,4.5005
17476905373,3,3,3,4,800,45,8,69.0589,5.9275
17476905543,3,3,3,4,800,59,8,70.2344,7.602
17476905373,3,3,3,4,800,93,8,70.2793,6.8609
17476905373,3,3,3,4,800,96,8,68.324,4.6804
17476905543,3,3,3,4,800,98,8,69.1578,4.08
17476905583,3,3,4,2,800,6,8,60.1976,7.6244
17476905543,3,3,4,2,800,13,8,64.3715,5.4278
17476905543,3,3,4,2,800,42,8,62.9124,5.0978
17476905623,3,3,4,2,800,44,8,63.1802,7.0817
17476905583,3,3,4,2,800,45,8,62.2639,4.8672
17476905623,3,3,4,2,800,59,8,65.4762,8.954
17476905583,3,3,4,2,800,93,8,65.2446,8.4746
17476905583,3,3,4,2,800,96,8,65.2412,5.0864
17476905583,3,3,4,2,800,98,8,65.1199,5.4657
17477289853,3,3,4,3,800,6,8,61.7902,7.7216
17476905623,3,3,4,3,800,13,8,66.0693,5.771
17476905623,3,3,4,3,800,42,8,63.199,4.106
17477289893,3,3,4,3,800,44,8,63.188,6.0657
17477289853,3,3,4,3,800,45,8,63.2168,4.4236
17477289853,3,3,4,3,800,59,8,67.357,7.5544
17476905623,3,3,4,3,800,93,8,66.0558,8.9057
17477289853,3,3,4,3,800,96,8,65.7736,4.5535
17477289853,3,3,4,3,800,98,8,65.1216,5.5975
17477290013,3,3,5,2,800,6,8,64.9902,6.5941
17477289893,3,3,5,2,800,13,8,66.5235,5.3824
17477289893,3,3,5,2,800,42,8,65.1639,5.3738
17477290013,3,3,5,2,800,44,8,66.301,5.4761
17477289893,3,3,5,2,800,45,8,67.0753,6.0485
17477290013,3,3,5,2,800,59,8,67.3697,8.4957
17477289893,3,3,5,2,800,93,8,67.445,7.7417
17477290013,3,3,5,2,800,96,8,66.9364,5.3877
17477290013,3,3,5,2,800,98,8,68.9121,3.9904
17477291233,3,3,5,3,800,6,8,66.6781,5.2437
17477290713,3,3,5,3,800,13,8,66.8102,6.7836
17477290713,3,3,5,3,800,42,8,65.6902,5.4791
17477291233,3,3,5,3,800,44,8,66.9035,4.8028
17477290713,3,3,5,3,800,45,8,67.6435,5.6724
17477291233,3,3,5,3,800,59,8,67.9522,8.2029
17477290713,3,3,5,3,800,93,8,68.2961,7.8165
17477290713,3,3,5,3,800,96,8,67.4424,5.6406
17477291233,3,3,5,3,800,98,8,68.9193,3.4584
17477350673,5,5,2,2,800,6,8,62.6909,6.0625
17477350673,5,5,2,2,800,13,8,65.2938,6.0071
17477291233,5,5,2,2,800,42,8,66.6367,7.6482
17477350823,5,5,2,2,800,44,8,66.2036,6.6164
17477350673,5,5,2,2,800,45,8,66.3308,5.4038
17477350823,5,5,2,2,800,59,8,67.0685,5.3082
17477350673,5,5,2,2,800,93,8,68.6815,6.2498
17477350673,5,5,2,2,800,96,8,66.7841,4.0533
17477350823,5,5,2,2,800,98,8,69.5095,5.201
17477350863,5,5,2,3,800,6,8,68.4557,5.0714
17477350823,5,5,2,3,800,13,8,67.8563,4.0356
17477350823,5,5,2,3,800,42,8,68.7256,8.0379
17477350973,5,5,2,3,800,44,8,69.5922,5.982
17477350863,5,5,2,3,800,45,8,71.6849,4.8871
17477350973,5,5,2,3,800,59,8,72.6257,3.944
17477350863,5,5,2,3,800,93,8,69.7879,7.4077
17477350863,5,5,2,3,800,96,8,70.7281,5.3198
17477350863,5,5,2,3,800,98,8,72.9693,3.0919
17477350973,5,5,2,4,800,6,8,64.6797,4.6805
17477350973,5,5,2,4,800,13,8,66.4493,5.2788
17477350973,5,5,2,4,800,42,8,67.2557,7.0292
17478218403,5,5,2,4,800,44,8,67.424,6.8707
17477350973,5,5,2,4,800,45,8,70.2797,5.7354
17477350973,5,5,2,4,800,59,8,67.8209,4.06
17477350973,5,5,2,4,800,93,8,68.451,8.0162
17477350973,5,5,2,4,800,96,8,67.9569,3.5802
17477350973,5,5,2,4,800,98,8,70.01,4.3182
17478218793,5,5,2,5,800,6,8,54.4753,7.5462
17478218403,5,5,2,5,800,13,8,56.7694,5.4177
17478218403,5,5,2,5,800,42,8,58.8241,7.0369
17478218793,5,5,2,5,800,44,8,54.4147,4.156
17478218403,5,5,2,5,800,45,8,57.3106,5.4459
17478218793,5,5,2,5,800,59,8,59.0625,5.0815
17478218403,5,5,2,5,800,93,8,56.6312,7.448
17478218793,5,5,2,5,800,96,8,54.1607,5.8096
17478218793,5,5,2,5,800,98,8,59.0923,3.7937
17478218883,5,5,3,2,800,6,8,63.3768,5.7142
17477378203,5,5,3,2,800,13,8,66.9263,4.7568
17478218883,5,5,3,2,800,42,8,64.3863,7.6997
17477378223,5,5,3,2,800,44,8,66.5242,6.0358
17478218883,5,5,3,2,800,45,8,65.0626,4.2818
17477378223,5,5,3,2,800,59,8,67.9912,5.6001
17477378203,5,5,3,2,800,93,8,68.9928,5.8791
17478218883,5,5,3,2,800,96,8,67.3774,5.4574
17478218883,5,5,3,2,800,98,8,67.681,4.6176
17477378273,5,5,3,3,800,6,8,60.2989,6.6556
17477378273,5,5,3,3,800,13,8,61.2091,4.9522
17478267473,5,5,3,3,800,42,8,60.5422,6.8619
17477423973,5,5,3,3,800,44,8,62.1175,4.873
17477378273,5,5,3,3,800,45,8,62.3783,5.8557
17477423973,5,5,3,3,800,59,8,63.4408,5.4101
17477378273,5,5,3,3,800,93,8,60.8631,6.5421
17477378273,5,5,3,3,800,96,8,59.2503,3.3789
17477423973,5,5,3,3,800,98,8,64.0807,4.9607
17477423433,5,5,3,4,800,6,8,65.3303,6.4289
17477423973,5,5,3,4,800,13,8,67.7873,4.4664
17477423973,5,5,3,4,800,42,8,66.362,7.4247
17477423553,5,5,3,4,800,44,8,68.8044,5.9406
17477423433,5,5,3,4,800,45,8,70.2877,5.034
17477423553,5,5,3,4,800,59,8,70.6595,3.1524
17477423433,5,5,3,4,800,93,8,70.117,7.1586
17477423433,5,5,3,4,800,96,8,68.5188,5.7074
17477423433,5,5,3,4,800,98,8,70.2474,4.5556
17477423563,5,5,4,2,800,6,8,58.5923,6.0365
17477423553,5,5,4,2,800,13,8,61.67,3.0283
17477423553,5,5,4,2,800,42,8,62.2091,7.8383
17477425113,5,5,4,2,800,44,8,62.6289,5.1634
17477423563,5,5,4,2,800,45,8,60.8862,5.5055
17477423563,5,5,4,2,800,59,8,63.9784,4.5339
17477423553,5,5,4,2,800,93,8,62.0764,6.7398
17477423563,5,5,4,2,800,96,8,59.9135,5.4259
17477423563,5,5,4,2,800,98,8,62.358,6.3555
17477474483,5,5,4,3,800,6,8,60.2623,5.6079
17477425113,5,5,4,3,800,13,8,62.2597,2.8307
17477425113,5,5,4,3,800,42,8,62.7752,7.9117
17477474483,5,5,4,3,800,44,8,64.786,5.1117
17477425113,5,5,4,3,800,45,8,62.5625,4.4592
17477474483,5,5,4,3,800,59,8,65.1236,3.7592
17477425113,5,5,4,3,800,93,8,62.9368,5.5297
17477474483,5,5,4,3,800,96,8,61.1016,4.7979
17477474483,5,5,4,3,800,98,8,63.1931,6.148
17477474653,5,5,5,2,800,6,8,59.7856,6.734
17477474503,5,5,5,2,800,13,8,63.1262,3.4195
17477474503,5,5,5,2,800,42,8,62.55,7.3198
17477474653,5,5,5,2,800,44,8,65.1422,4.1036
17477474503,5,5,5,2,800,45,8,61.4751,4.0568
17477474653,5,5,5,2,800,59,8,66.4544,3.9522
17477474503,5,5,5,2,800,93,8,63.1689,6.1619
17477474503,5,5,5,2,800,96,8,61.4357,4.2419
17477474653,5,5,5,2,800,98,8,63.4666,5.3618
17477474753,5,5,5,3,800,6,8,60.8674,5.7008
17477474753,5,5,5,3,800,13,8,64.1738,4.5657
17477474653,5,5,5,3,800,42,8,63.1873,7.0013
17477474723,5,5,5,3,800,44,8,65.42,4.4904
17477474753,5,5,5,3,800,45,8,62.0817,4.0158
17477474723,5,5,5,3,800,59,8,66.4454,5.6492
17477474753,5,5,5,3,800,93,8,64.2999,5.0145
17477474753,5,5,5,3,800,96,8,61.9107,4.6876
17477474723,5,5,5,3,800,98,8,64.8286,4.3864
17477517323,7,7,2,2,800,6,8,66.3994,4.621
17477474723,7,7,2,2,800,13,8,69.425,2.7489
17477474723,7,7,2,2,800,42,8,69.3296,8.0601
17477517973,7,7,2,2,800,44,8,67.9605,3.8958
17477517323,7,7,2,2,800,45,8,66.8685,5.3876
17477517973,7,7,2,2,800,59,8,69.2695,5.7
17477517323,7,7,2,2,800,93,8,69.4085,5.958
17477517323,7,7,2,2,800,96,8,66.6095,8.5576
17477517323,7,7,2,2,800,98,8,69.6156,4.9167
17477517603,7,7,2,3,800,6,8,67.5083,4.4213
17477517973,7,7,2,3,800,13,8,70.0351,4.2081
17477517973,7,7,2,3,800,42,8,69.1748,6.8751
17477517643,7,7,2,3,800,44,8,69.2262,3.4637
17477517603,7,7,2,3,800,45,8,68.8715,5.2837
17477517603,7,7,2,3,800,59,8,71.7482,3.6937
17477517973,7,7,2,3,800,93,8,70.9471,5.8495
17477517603,7,7,2,3,800,96,8,70.809,6.5458
17477517603,7,7,2,3,800,98,8,72.2663,4.9675
17477517603,7,7,2,4,800,6,8,65.0821,3.9583
17477517643,7,7,2,4,800,13,8,67.8195,2.893
17477517643,7,7,2,4,800,42,8,67.1467,7.4951
17477517603,7,7,2,4,800,44,8,67.2986,5.0237
17477517643,7,7,2,4,800,45,8,67.9995,4.9246
17477517603,7,7,2,4,800,59,8,70.6276,5.7858
17477517643,7,7,2,4,800,93,8,71.0096,6.6427
17477517603,7,7,2,4,800,96,8,67.996,7.0314
17477517603,7,7,2,4,800,98,8,70.8498,5.4601
17477606313,7,7,2,5,800,6,8,55.282,5.9845
17477605723,7,7,2,5,800,13,8,58.9327,4.5862
17477605723,7,7,2,5,800,42,8,59.1035,8.3638
17477606313,7,7,2,5,800,44,8,55.2772,5.0362
17477605723,7,7,2,5,800,45,8,53.7994,2.1809
17477606313,7,7,2,5,800,59,8,58.7117,5.9746
17477605723,7,7,2,5,800,93,8,58.0486,7.4278
17477605723,7,7,2,5,800,96,8,54.813,5.6667
17477606313,7,7,2,5,800,98,8,58.5156,2.5155
17477605733,7,7,3,2,800,6,8,65.929,5.7867
17477605733,7,7,3,2,800,13,8,67.4779,4.944
17477606313,7,7,3,2,800,42,8,68.8163,8.1466
17477662753,7,7,3,2,800,44,8,68.4473,3.9772
17477605733,7,7,3,2,800,45,8,69.4171,6.0734
17477662753,7,7,3,2,800,59,8,68.1615,6.5308
17477605733,7,7,3,2,800,93,8,66.9093,5.1796
17477605733,7,7,3,2,800,96,8,66.1014,6.0772
17477662753,7,7,3,2,800,98,8,68.5749,6.5519
17477664643,7,7,3,3,800,6,8,62.046,5.0327
17477662753,7,7,3,3,800,13,8,64.5043,4.407
17477662753,7,7,3,3,800,42,8,65.3159,8.316
17477664773,7,7,3,3,800,44,8,63.6971,5.497
17477664643,7,7,3,3,800,45,8,63.4991,4.6039
17477664773,7,7,3,3,800,59,8,65.1641,5.4207
17477664643,7,7,3,3,800,93,8,66.4322,6.1681
17477664643,7,7,3,3,800,96,8,62.7929,8.7685
17477664643,7,7,3,3,800,98,8,64.9236,5.1289
17477664843,7,7,3,4,800,6,8,66.2447,4.453
17477664773,7,7,3,4,800,13,8,68.0278,3.7798
17477664773,7,7,3,4,800,42,8,69.7876,7.5812
17477664863,7,7,3,4,800,44,8,67.8183,2.8258
17477664843,7,7,3,4,800,45,8,69.444,5.4404
17477664843,7,7,3,4,800,59,8,71.1954,5.8397
17477664773,7,7,3,4,800,93,8,69.9627,5.5109
17477664843,7,7,3,4,800,96,8,67.3954,6.6263
17477664843,7,7,3,4,800,98,8,70.9845,6.2053
17477697183,7,7,4,2,800,6,8,62.1482,8.0475
17477664863,7,7,4,2,800,13,8,64.8841,5.5249
17477664863,7,7,4,2,800,42,8,65.3158,7.4399
17477697183,7,7,4,2,800,44,8,64.4635,3.6804
17477664863,7,7,4,2,800,45,8,63.2923,4.5076
17477697183,7,7,4,2,800,59,8,65.9752,5.2214
17477664863,7,7,4,2,800,93,8,65.6295,4.8028
17477697183,7,7,4,2,800,96,8,62.7236,7.0139
17477697183,7,7,4,2,800,98,8,64.1174,6.7268
17477697403,7,7,4,3,800,6,8,63.846,6.2554
17477697223,7,7,4,3,800,13,8,66.4274,5.7465
17477697223,7,7,4,3,800,42,8,65.7625,7.2417
17477697403,7,7,4,3,800,44,8,64.5034,4.3794
17477697223,7,7,4,3,800,45,8,63.423,4.9507
