ID,Width,Height,Depth,TemporalPooling,Epochs,Seed,SpatialPooling,AvgClassificationRate,AvgDeviation
17475050673,3,3,2,2,800,6,8,65.8008,7.0887
17475047233,3,3,2,2,800,13,8,66.5317,6.003
17475047233,3,3,2,2,800,42,8,67.9674,5.4885
17475050673,3,3,2,2,800,44,8,64.5194,5.6383
17475047233,3,3,2,2,800,45,8,64.8923,4.144
17475050673,3,3,2,2,800,59,8,68.6323,5.0753
17475047233,3,3,2,2,800,93,8,69.9718,6.4572
17475047233,3,3,2,2,800,96,8,66.7649,6.2226
17475050673,3,3,2,2,800,98,8,67.4699,6.4631
17475050733,3,3,2,3,800,6,8,67.143,6.3061
17475050733,3,3,2,3,800,13,8,70.397,5.1545
17475050673,3,3,2,3,800,42,8,71.332,6.6567
17475052453,3,3,2,3,800,44,8,68.2255,2.3936
17475050733,3,3,2,3,800,45,8,69.1992,5.3593
17475052453,3,3,2,3,800,59,8,71.5197,5.9572
17475050733,3,3,2,3,800,93,8,72.1264,7.3964
17475050733,3,3,2,3,800,96,8,69.6215,5.5518
17475052453,3,3,2,3,800,98,8,72.2938,3.4798
17475053083,3,3,2,4,800,6,8,64.0818,7.0398
17475052453,3,3,2,4,800,13,8,65.9639,6.1278
17475052453,3,3,2,4,800,42,8,67.1316,5.035
17475076903,3,3,2,4,800,44,8,66.235,5.0617
17475053083,3,3,2,4,800,45,8,67.6175,4.8768
17475076903,3,3,2,4,800,59,8,70.0913,5.0715
17475053083,3,3,2,4,800,93,8,70.3034,6.5118
17475053083,3,3,2,4,800,96,8,67.8267,5.4795
17475053083,3,3,2,4,800,98,8,69.0807,4.3413
17475083013,3,3,2,5,800,6,8,55.5006,8.4937
17475076903,3,3,2,5,800,13,8,58.3942,3.6248
17475076903,3,3,2,5,800,42,8,56.1335,6.3888
17475083043,3,3,2,5,800,44,8,56.9142,3.9779
17475083013,3,3,2,5,800,45,8,55.3174,4.4329
17475083013,3,3,2,5,800,59,8,61.4639,4.2701
17475076903,3,3,2,5,800,93,8,59.7097,10.352
17475083013,3,3,2,5,800,96,8,55.964,5.154
17475083013,3,3,2,5,800,98,8,59.2072,6.6969
17475083113,3,3,3,2,800,6,8,66.837,6.6674
17475083043,3,3,3,2,800,13,8,69.2593,5.2884
17475083043,3,3,3,2,800,42,8,68.2779,7.5603
17475083113,3,3,3,2,800,44,8,66.4906,6.3874
17475083043,3,3,3,2,800,45,8,67.2781,5.4448
17475083113,3,3,3,2,800,59,8,69.3345,6.0834
17475083043,3,3,3,2,800,93,8,70.7672,7.1483
17475083113,3,3,3,2,800,96,8,66.8649,6.6658
17475083113,3,3,3,2,800,98,8,68.557,3.2594
17475119403,3,3,3,3,800,6,8,59.492,9.5149
17475083073,3,3,3,3,800,13,8,62.6266,4.1109
17475083073,3,3,3,3,800,42,8,62.0425,5.1579
17475119403,3,3,3,3,800,44,8,59.8377,5.8499
17475083073,3,3,3,3,800,45,8,60.7071,5.116
17475119403,3,3,3,3,800,59,8,63.1966,5.1654
17475083073,3,3,3,3,800,93,8,65.4881,7.324
17475083073,3,3,3,3,800,96,8,62.6476,6.1468
17475119403,3,3,3,3,800,98,8,62.2693,7.059
17475119523,3,3,3,4,800,6,8,66.5354,6.9817
17475119523,3,3,3,4,800,13,8,69.2869,4.9977
17475119403,3,3,3,4,800,42,8,69.4611,5.7129
17475121743,3,3,3,4,800,44,8,67.0774,4.6885
17475119523,3,3,3,4,800,45,8,68.3525,4.6956
17475121743,3,3,3,4,800,59,8,69.5981,6.3461
17475119523,3,3,3,4,800,93,8,70.1022,8.792
17475119523,3,3,3,4,800,96,8,67.7037,6.3533
17475121743,3,3,3,4,800,98,8,68.8205,3.6864
17475121743,3,3,4,2,800,6,8,61.6668,8.1687
17475121743,3,3,4,2,800,13,8,63.7135,5.7344
17475121743,3,3,4,2,800,42,8,63.1215,4.2486
17475121763,3,3,4,2,800,44,8,62.6157,8.0546
17475121743,3,3,4,2,800,45,8,61.5384,5.5254
17475121763,3,3,4,2,800,59,8,66.208,7.9472
17475121743,3,3,4,2,800,93,8,66.3292,7.4609
17475121743,3,3,4,2,800,96,8,64.2655,4.45
17475121743,3,3,4,2,800,98,8,64.1127,4.5523
17475154013,3,3,4,3,800,6,8,62.1548,7.8123
17475121763,3,3,4,3,800,13,8,64.5783,5.3888
17475121763,3,3,4,3,800,42,8,63.1211,4.7677
17475154063,3,3,4,3,800,44,8,62.5692,8.1308
17475154013,3,3,4,3,800,45,8,61.2685,5.0019
17475154013,3,3,4,3,800,59,8,65.443,7.0189
17475121763,3,3,4,3,800,93,8,66.6234,7.6931
17475154013,3,3,4,3,800,96,8,66.7954,5.3991
17475154013,3,3,4,3,800,98,8,65.4343,5.0715
17475154113,3,3,5,2,800,6,8,63.5371,5.6902
17475154063,3,3,5,2,800,13,8,66.3847,4.8507
17475154063,3,3,5,2,800,42,8,65.4485,5.6535
17475154113,3,3,5,2,800,44,8,65.4195,5.7084
17475154063,3,3,5,2,800,45,8,64.5054,5.5884
17475154113,3,3,5,2,800,59,8,66.2437,8.0051
17475154063,3,3,5,2,800,93,8,66.1317,9.2366
17475154113,3,3,5,2,800,96,8,66.7756,5.6573
17475154113,3,3,5,2,800,98,8,66.3263,3.0335
17475154163,3,3,5,3,800,6,8,64.9641,6.2297
17475154123,3,3,5,3,800,13,8,66.0906,5.086
